startingAirport,destinationAirport,totalTravelDistance,segmentsDurationInSeconds,segmentsDistance
1,2,730,5040.0,185
1,3,1806,5040.0,185
1,4,1565,5040.0,185
1,5,670,5880.0,485
1,6,1273,8520.0,185
1,7,406,8520.0,221
1,8,185,5580.0,185
1,9,2643,5040.0,185
1,10,627,5040.0,221
1,11,1289,5040.0,185
1,12,2981,7440.0,338
1,13,905,5040.0,185
1,14,282,2880.0,97
1,15,2751,5040.0,185
1,16,947,5040.0,185
2,1,730,5100.0,185
2,3,1435,9900.0,930
2,4,994,4620.0,549
2,5,1030,7140.0,545
2,6,990,7980.0,228
2,7,766,6360.0,545
2,8,918,4920.0,327
2,9,2275,12000.0,228
2,10,548,5100.0,327
2,11,1649,4740.0,1104
2,12,2675,4620.0,338
2,13,1265,5700.0,720
2,14,895,2880.0,228
2,15,3111,9960.0,545
2,16,1307,7080.0,545
3,1,1806,13500.0,185
3,2,1435,7260.0,228
3,4,1372,5760.0,992
3,5,1645,9420.0,995
3,6,2030,7260.0,650
3,7,1842,7200.0,327
3,8,1623,14160.0,185
3,9,970,5400.0,590
3,10,2030,12600.0,650
3,11,2725,10320.0,1621
3,12,1689,7440.0,672
3,13,1034,7200.0,341
3,14,1575,7260.0,672
3,15,979,5580.0,380
3,16,1375,7680.0,725
4,1,1565,12360.0,185
4,2,953,4860.0,228
4,3,1372,7200.0,992
4,5,1039,6900.0,240
4,6,1487,7980.0,725
4,7,1266,6360.0,725
4,8,1487,7500.0,725
4,9,1616,4500.0,233
4,10,1652,4500.0,233
4,11,1321,6780.0,596
4,12,1954,4620.0,338
4,13,1325,4860.0,725
4,14,1392,7500.0,725
4,15,1874,4560.0,233
4,16,924,7800.0,725
5,1,670,6600.0,185
5,2,1030,5280.0,545
5,3,1143,6600.0,240
5,4,1011,2760.0,240
5,6,1050,6600.0,545
5,7,832,5280.0,327
5,8,1055,5220.0,391
5,9,1985,5280.0,485
5,10,612,5340.0,221
5,11,1589,6600.0,1104
5,12,2323,7440.0,240
5,13,1205,10500.0,240
5,14,912,6600.0,672
5,15,3051,5280.0,240
5,16,1247,6600.0,485
6,1,185,5100.0,185
6,2,990,5580.0,228
6,3,2030,7380.0,1380
6,4,1487,8040.0,725
6,5,1050,5100.0,545
6,7,872,5580.0,545
6,9,2465,15840.0,762
6,10,185,5340.0,185
6,11,1358,6660.0,596
6,12,2796,4620.0,338
6,13,725,5160.0,240
6,14,1429,7260.0,545
6,15,2791,7200.0,652
6,16,773,5100.0,545
7,1,406,5100.0,221
7,2,769,5280.0,545
7,3,1842,5100.0,221
7,4,1266,6180.0,725
7,5,832,5100.0,327
7,6,872,5100.0,545
7,8,891,5100.0,327
7,9,2679,6180.0,541
7,10,872,6180.0,327
7,11,1325,5100.0,327
7,12,3017,4620.0,338
7,13,923,5280.0,327
7,14,776,4800.0,327
7,15,2787,5100.0,327
7,16,555,5100.0,327
8,1,185,5160.0,185
8,2,918,5580.0,185
8,3,2030,7440.0,185
8,4,1657,4740.0,233
8,5,982,5880.0,391
8,7,891,4740.0,327
8,9,2905,5520.0,2566
8,11,1104,9900.0,1104
8,12,2796,4620.0,338
8,13,1047,4800.0,185
8,14,465,4560.0,185
8,15,2797,5400.0,339
8,16,762,7260.0,541
9,1,2643,5100.0,185
9,2,3003,4380.0,228
9,3,970,5400.0,590
9,4,1616,7200.0,233
9,5,1985,9420.0,240
9,6,2465,7980.0,762
9,7,2679,10440.0,541
9,8,2905,19800.0,2566
9,10,2465,12600.0,1380
9,11,2643,6660.0,596
9,12,1432,6120.0,543
9,13,2679,5340.0,1723
9,14,2417,7380.0,667
9,15,339,5400.0,339
9,16,1963,7800.0,725
10,1,627,5940.0,221
10,2,548,4980.0,221
10,3,2030,7440.0,650
10,4,1652,9480.0,233
10,5,612,5400.0,391
10,7,872,4740.0,327
10,9,2465,16020.0,1380
10,11,1144,10260.0,221
10,12,3115,7440.0,338
10,13,815,10500.0,720
10,14,1392,9840.0,720
10,15,2567,5520.0,720
10,16,762,5100.0,221
11,1,1289,5100.0,185
11,2,1649,4380.0,1104
11,3,2725,7440.0,650
11,4,1321,8040.0,596
11,5,1589,7980.0,1104
11,6,1358,7980.0,596
11,7,1325,4740.0,327
11,8,1104,8880.0,1104
11,9,2643,12000.0,596
11,10,1144,9240.0,221
11,12,2679,7440.0,958
11,13,1824,10740.0,1104
11,14,1569,10920.0,1104
11,15,3670,10380.0,1104
11,16,1866,8760.0,1104
12,1,3254,5040.0,672
12,2,2877,5040.0,338
12,3,1186,5040.0,672
12,4,1954,5040.0,338
12,5,2323,5220.0,240
12,6,2796,5040.0,338
12,7,2633,5040.0,338
12,8,2558,19080.0,338
12,9,1432,5880.0,543
12,10,3005,5040.0,338
12,11,3477,8880.0,958
12,13,2395,7200.0,672
12,14,2755,5040.0,672
12,15,677,5040.0,338
12,16,2412,10620.0,338
13,1,905,5940.0,185
13,2,1265,4860.0,545
13,3,1034,5940.0,693
13,4,1325,5940.0,725
13,5,240,5940.0,240
13,6,725,5940.0,485
13,7,941,5940.0,327
13,8,815,5220.0,594
13,9,2679,8940.0,1723
13,10,815,5940.0,720
13,11,1824,6720.0,720
13,12,2395,7440.0,672
13,14,1142,5940.0,280
13,15,2084,5580.0,339
13,16,1482,5940.0,762
14,1,282,2880.0,97
14,2,895,7920.0,667
14,3,1575,7440.0,672
14,4,1392,5940.0,725
14,5,912,5220.0,240
14,6,1392,6240.0,545
14,7,776,6360.0,327
14,8,465,5100.0,280
14,9,2417,13260.0,672
14,10,1392,8340.0,720
14,11,1263,2880.0,1104
14,12,2755,4620.0,338
14,13,1142,4860.0,280
14,15,2519,7800.0,672
14,16,859,2880.0,97
15,1,2751,5100.0,185
15,2,3111,12720.0,228
15,3,1696,9600.0,1017
15,4,1874,7200.0,233
15,5,2087,5340.0,240
15,6,2897,7980.0,339
15,7,2787,5400.0,327
15,8,2797,5580.0,2566
15,9,339,7200.0,339
15,10,2567,8040.0,720
15,11,3670,12720.0,1104
15,12,677,4620.0,338
15,13,2402,5340.0,1723
15,14,2519,15540.0,672
15,16,3328,7680.0,2566
16,1,947,8220.0,185
16,2,1307,6600.0,541
16,3,1375,7440.0,725
16,4,924,8760.0,233
16,5,1247,4860.0,485
16,6,773,4860.0,545
16,7,555,4860.0,327
16,8,762,6660.0,541
16,9,2047,8640.0,725
16,10,762,6660.0,221
16,11,1866,8100.0,1104
16,12,2175,7140.0,588
16,13,1482,6960.0,762
16,14,859,2880.0,97
16,15,3328,8640.0,811
